MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,StonesCompleted,ImplementWeightKg,CourseDistanceM,TimeLimitSec,ScoredBy,WorldRecord,Place,OverallPlace,Points,Notes
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Martins Licis,USA,Overall,,,,,,,,,,,,1,,
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Tom Stoltman,GBR,Overall,,,,,,,,,,,,2,,
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Oleksii Novikov,UKR,Overall,,,,,,,,,,,,3,,
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Mateusz Kieliszkowski,POL,Overall,,,,,,,,,,,,4,,
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Brian Shaw,USA,Overall,,,,,,,,,,,,5,,
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Bobby Thompson,USA,Overall,,,,,,,,,,,,6,,
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Trey Mitchell,USA,Overall,,,,,,,,,,,,7,,
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Maxime Boudreault,CAN,Overall,,,,,,,,,,,,8,,
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Rob Kearney,USA,Overall,,,,,,,,,,,,9,,
2021 Rogue Invitational,Rogue,2021-10-30,"Austin, Texas",Open,M,,,Kevin Faires,USA,Overall,,,,,,,,,,,,10,,
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Oleksii Novikov,UKR,Overall,,,,,,,,,,,,1,,
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Trey Mitchell,USA,Overall,,,,,,,,,,,,2,,
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Mitchell Hooper,CAN,Overall,,,,,,,,,,,,3,,Hooper's first Rogue Invitational
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Pavlo Nakonechnyy,UKR,Overall,,,,,,,,,,,,4,,
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Martins Licis,USA,Overall,,,,,,,,,,,,5,,
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Eythor Ingolfsson Melsted,ISL,Overall,,,,,,,,,,,,6,,
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Bobby Thompson,USA,Overall,,,,,,,,,,,,7,,
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Brian Shaw,USA,Overall,,,,,,,,,,,,8,,
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Maxime Boudreault,CAN,Overall,,,,,,,,,,,,9,,
2022 Rogue Invitational,Rogue,2022-10-29,"Austin, Texas",Open,M,,,Rob Kearney,USA,Overall,,,,,,,,,,,,10,,
