MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,StonesCompleted,ImplementWeightKg,CourseDistanceM,TimeLimitSec,ScoredBy,WorldRecord,Place,OverallPlace,Points,Notes
2015 World Deadlift Championships,Giants Live,2015-07-25,"Leeds, England",Open,M,,,Eddie Hall,GBR,Max Deadlift,Deadlift,Barbell,463,kg,,463,,,weight,Y,1,,,Three judges; set new world record 463kg / 1021 lbs
2016 World Deadlift Championships,Giants Live,2016-07-09,"Leeds, England",Open,M,,,Eddie Hall,GBR,Max Deadlift,Deadlift,Barbell,500,kg,,500,,,weight,Y,1,,,Three judges; first 500kg / 1102 lbs deadlift in history; Hall collapsed after lift
2016 World Deadlift Championships,Giants Live,2016-07-09,"Leeds, England",Open,M,,,Jerry Pritchett,USA,Max Deadlift,Deadlift,Barbell,465,kg,,465,,,weight,,2,,,465kg / 1025 lbs
2016 World Deadlift Championships,Giants Live,2016-07-09,"Leeds, England",Open,M,,,Hafthor Julius Bjornsson,ISL,Max Deadlift,Deadlift,Barbell,435,kg,,435,,,weight,,3,,,435kg / 959 lbs
2017 World Deadlift Championships,Giants Live,2017-09-16,"Manchester, England",Open,M,,,JF Caron,CAN,Deadlift for Reps,Deadlift,Barbell,14,reps,,400,,60,reps,,1,,,400kg for reps format; 60 second time limit
2017 World Deadlift Championships,Giants Live,2017-09-16,"Manchester, England",Open,M,,,Konstantine Janashia,GEO,Deadlift for Reps,Deadlift,Barbell,6,reps,,400,,60,reps,,1,,,400kg for 6 reps; tied 1st
2019 World Deadlift Championships,Giants Live,2019-09-07,"Wembley, England",Open,M,,,Rauno Heinla,EST,Max Deadlift,Deadlift,Barbell,462,kg,,462,,,weight,,1,,,462kg / 1019 lbs; returned to max format
2019 World Deadlift Championships,Giants Live,2019-09-07,"Wembley, England",Open,M,,,Jerry Pritchett,USA,Max Deadlift,Deadlift,Barbell,462,kg,,462,,,weight,,1,,,462kg; tied 1st
2021 World Deadlift Championships,Giants Live,2021-09-18,"Manchester, England",Open,M,,,Ivan Makarov,GEO,Max Deadlift,Deadlift,Barbell,470,kg,,470,,,weight,Y,1,,,World record 470kg / 1036 lbs; three official judges
2021 World Deadlift Championships,Giants Live,2021-09-18,"Manchester, England",Open,M,,,Pavlo Nakonechnyy,UKR,Max Deadlift,Deadlift,Barbell,453.5,kg,,453.5,,,weight,,2,,,453.5kg / 1000 lbs
