MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,StonesCompleted,ImplementWeightKg,CourseDistanceM,TimeLimitSec,ScoredBy,WorldRecord,Place,OverallPlace,Points,Notes
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Mitchell Hooper,CAN,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",21.96,sec,,455,20,,time,,1,8,30,120kg boxes + 455kg yoke; Hooper's first WSM final event win
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Tom Stoltman,GBR,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",24.75,sec,,455,20,,time,,2,1,53.5,
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Oleksii Novikov,UKR,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",24.84,sec,,455,20,,time,,3,3,43,
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Luke Stoltman,GBR,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",28.72,sec,,455,20,,time,,4,7,30.5,
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Martins Licis,USA,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",30.60,sec,,455,20,,time,,5,2,43,
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Brian Shaw,USA,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",30.78,sec,,455,20,,time,,6,4,37.5,
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Trey Mitchell,USA,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",32.54,sec,,455,20,,time,,7,6,34,
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Gabriel Rheaume,CAN,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",33.87,sec,,455,20,,time,,8,10,11,
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Maxime Boudreault,CAN,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",34.11,sec,,455,20,,time,,9,5,34.5,
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Eythor Ingolfsson Melsted,ISL,KNAACK Giant's Medley,Medley,"Box Carry,Yoke",37.61,sec,,455,20,,time,,10,9,13,
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Oleksii Novikov,UKR,Car Deadlift,Deadlift,Car,15,reps,,360,,60,reps,,1,3,43,360kg car deadlift; nosebleed during set
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Tom Stoltman,GBR,Car Deadlift,Deadlift,Car,13,reps,,360,,60,reps,,2,1,53.5,Tied 2nd
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Trey Mitchell,USA,Car Deadlift,Deadlift,Car,13,reps,,360,,60,reps,,2,6,34,Tied 2nd
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Mitchell Hooper,CAN,Car Deadlift,Deadlift,Car,12,reps,,360,,60,reps,,4,8,30,Tied 4th
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Martins Licis,USA,Car Deadlift,Deadlift,Car,12,reps,,360,,60,reps,,4,2,43,Tied 4th
2022 World's Strongest Man,WSM,2022-05-28,"Sacramento, California",Open,M,,,Brian Shaw,USA,Car Deadlift,Deadlift,Car,12,reps,,360,,60,reps,,4,4,37.5,Tied 4th
