MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,Place,OverallPlace,Points,Notes
1977 World's Strongest Man,WSM,1977-09-00,"Universal Studios, California",Open,M,,,Bruce Wilhelm,USA,Overall,,,,,,1,,
1977 World's Strongest Man,WSM,1977-09-00,"Universal Studios, California",Open,M,,,Bob Young,USA,Overall,,,,,,2,,
1977 World's Strongest Man,WSM,1977-09-00,"Universal Studios, California",Open,M,,,Ken Patera,USA,Overall,,,,,,3,,
1978 World's Strongest Man,WSM,1978-09-00,,Open,M,,,Bruce Wilhelm,USA,Overall,,,,,,1,,
1978 World's Strongest Man,WSM,1978-09-00,,Open,M,,,Don Reinhoudt,USA,Overall,,,,,,2,,
1978 World's Strongest Man,WSM,1978-09-00,,Open,M,,,Lars Hedlund,SWE,Overall,,,,,,3,,
1979 World's Strongest Man,WSM,1979-09-00,,Open,M,,,Don Reinhoudt,USA,Overall,,,,,,1,,
1979 World's Strongest Man,WSM,1979-09-00,,Open,M,,,Lars Hedlund,SWE,Overall,,,,,,2,,
1979 World's Strongest Man,WSM,1979-09-00,,Open,M,,,Bill Kazmaier,USA,Overall,,,,,,3,,
1980 World's Strongest Man,WSM,1980-09-00,"Playboy Club, New Jersey",Open,M,,,Bill Kazmaier,USA,Overall,,,,,,1,,
1980 World's Strongest Man,WSM,1980-09-00,"Playboy Club, New Jersey",Open,M,,,Lars Hedlund,SWE,Overall,,,,,,2,,
1980 World's Strongest Man,WSM,1980-09-00,"Playboy Club, New Jersey",Open,M,,,Geoff Capes,GBR,Overall,,,,,,3,,
1981 World's Strongest Man,WSM,1981-09-00,"Magic Mountain, California",Open,M,,,Bill Kazmaier,USA,Overall,,,,,,1,,
1981 World's Strongest Man,WSM,1981-09-00,"Magic Mountain, California",Open,M,,,Geoff Capes,GBR,Overall,,,,,,2,,
1981 World's Strongest Man,WSM,1981-09-00,"Magic Mountain, California",Open,M,,,Dave Waddington,GBR,Overall,,,,,,3,,
1982 World's Strongest Man,WSM,1982-09-00,,Open,M,,,Bill Kazmaier,USA,Overall,,,,,,1,,
1982 World's Strongest Man,WSM,1982-09-00,,Open,M,,,Tom Magee,CAN,Overall,,,,,,2,,
1982 World's Strongest Man,WSM,1982-09-00,,Open,M,,,John Gamble,USA,Overall,,,,,,3,,
1983 World's Strongest Man,WSM,1983-00-00,"Christchurch, New Zealand",Open,M,,,Geoff Capes,GBR,Overall,,,,,,1,,
1983 World's Strongest Man,WSM,1983-00-00,"Christchurch, New Zealand",Open,M,,,Jon Pall Sigmarsson,ISL,Overall,,,,,,2,,
1983 World's Strongest Man,WSM,1983-00-00,"Christchurch, New Zealand",Open,M,,,Simon Wulfse,NED,Overall,,,,,,3,,
1984 World's Strongest Man,WSM,1984-00-00,"Mora, Sweden",Open,M,,,Jon Pall Sigmarsson,ISL,Overall,,,,,,1,,
1984 World's Strongest Man,WSM,1984-00-00,"Mora, Sweden",Open,M,,,Ab Wolders,NED,Overall,,,,,,2,,
1984 World's Strongest Man,WSM,1984-00-00,"Mora, Sweden",Open,M,,,Geoff Capes,GBR,Overall,,,,,,3,,
1985 World's Strongest Man,WSM,1985-00-00,"Cascais, Portugal",Open,M,,,Geoff Capes,GBR,Overall,,,,,,1,,
1985 World's Strongest Man,WSM,1985-00-00,"Cascais, Portugal",Open,M,,,Jon Pall Sigmarsson,ISL,Overall,,,,,,2,,
1985 World's Strongest Man,WSM,1985-00-00,"Cascais, Portugal",Open,M,,,Cees de Vreugd,NED,Overall,,,,,,3,,
1986 World's Strongest Man,WSM,1986-00-00,"Nice, France",Open,M,,,Jon Pall Sigmarsson,ISL,Overall,,,,,,1,,
1986 World's Strongest Man,WSM,1986-00-00,"Nice, France",Open,M,,,Geoff Capes,GBR,Overall,,,,,,2,,
1986 World's Strongest Man,WSM,1986-00-00,"Nice, France",Open,M,,,Ab Wolders,NED,Overall,,,,,,3,,
1988 World's Strongest Man,WSM,1988-00-00,"Budapest, Hungary",Open,M,,,Jon Pall Sigmarsson,ISL,Overall,,,,,,1,,Not held in 1987
1988 World's Strongest Man,WSM,1988-00-00,"Budapest, Hungary",Open,M,,,Bill Kazmaier,USA,Overall,,,,,,2,,
